Defect ID,Severity,Priority,Description,Comments,Status,Reported Date,Closed Date,Root Cause,Reopen Count,Module Name,Assigned To,Created By
D0136,Low,P1,Memory leak in session handling of UPI requests.,Accusantium aperiam fugit officia explicabo quia nostrum.,Closed,2024-01-18,2024-01-20,Null Pointer,1,Bill Payments,Divyansh Singhal,Elakshi Kaur
D0137,Critical,P1,Transaction fails intermittently due to race condition in concurrent hashmap.,Repellendus necessitatibus aspernatur officiis sunt et impedit.,Closed,2024-10-11,2024-10-13,Memory Leak,3,Account Ledger,Navya Dhaliwal,Dharmajan Yogi
D0138,High,P1,Date parsing issue causes crash in EMI module.,Perspiciatis aut saepe fuga eaque esse.,In Progress,2024-03-03,2024-03-22,Race Condition,0,UPI Service,Farhan Ganguly,Bhamini Kakar
D0139,Low,P3,Incorrect balance calculation after mini-statement fetch.,Nam optio mollitia cum corporis praesentium alias.,Closed,2024-03-14,2024-03-16,Memory Leak,1,Authentication Gateway,Kaira Sharma,Tiya Grover
D0140,Low,P4,Transaction fails intermittently due to race condition in concurrent hashmap.,Repellat veniam aliquam delectus placeat veniam quos.,Closed,2025-04-11,2025-04-12,Memory Leak,1,Authentication Gateway,Ivan Kakar,Manjari Kala
D0141,Medium,P4,Transaction fails intermittently due to race condition in concurrent hashmap.,Beatae occaecati iusto minima.,Closed,2024-02-11,2024-02-12,Bad Request Handling,0,Bill Payments,Indrans Chadha,Ayesha Ram
D0142,High,P1,Concurrency issue during interest computation.,Nulla nihil alias reiciendis qui eius culpa.,Closed,2024-08-05,2024-08-06,Bad Request Handling,0,Account Ledger,Aniruddh Bhatnagar,Kashvi Verma
D0143,Medium,P1,Date parsing issue causes crash in EMI module.,Recusandae voluptatem voluptate architecto maiores ab repudiandae.,Closed,2025-05-06,2025-05-07,Bad Request Handling,0,Account Ledger,Zain Tak,Ritvik Raju
D0144,Critical,P2,Incorrect balance calculation after mini-statement fetch.,Totam sit dicta laboriosam.,Open,2024-04-27,2024-06-11,Null Pointer,3,Transaction History,Krish Solanki,Tiya Bir
D0145,High,P3,Incorrect balance calculation after mini-statement fetch.,Expedita tempora repellat maiores sunt nihil atque nostrum.,Closed,2025-05-02,2025-05-04,Incorrect Business Logic,2,Transaction History,Hrishita Dar,Gokul Manne
D0146,Medium,P1,Date parsing issue causes crash in EMI module.,Beatae porro occaecati iure tempora.,Closed,2024-02-11,2024-02-12,Null Pointer,2,Bill Payments,Tarini Mann,Lavanya Hans
D0147,Critical,P3,Transaction fails intermittently due to race condition in concurrent hashmap.,Numquam aspernatur quos magnam repellendus eum.,Closed,2023-12-18,2023-12-20,Null Pointer,2,Loan Processing,Tarini Mann,Nirvaan Bhalla
D0148,Critical,P1,Array index out of bounds in bill payment validation flow.,Fuga quisquam rerum ullam eius odio.,In Progress,2024-09-04,2024-10-14,Null Pointer,3,UPI Service,Divyansh Dubey,Vidur Sura
D0149,Medium,P1,Concurrency issue during interest computation.,Reprehenderit ipsa dolor quidem vitae optio modi.,Closed,2024-05-23,2024-05-25,Bad Request Handling,0,Transaction History,Divyansh Dubey,Elakshi Kaur
D0150,Critical,P4,Transaction fails intermittently due to race condition in concurrent hashmap.,Rerum aut molestias molestiae.,Closed,2025-03-31,2025-04-02,Memory Leak,3,Authentication Gateway,Kimaya Sunder,Kartik Barman
D0151,Low,P4,Memory leak in session handling of UPI requests.,Dolor omnis tempore.,Closed,2023-07-14,2023-07-15,Bad Request Handling,2,Account Ledger,Divyansh Dubey,Vivaan Kumer
D0152,High,P4,Date parsing issue causes crash in EMI module.,Nisi laborum vitae deleniti natus.,Closed,2024-07-23,2024-07-25,Null Pointer,3,Authentication Gateway,Elakshi Luthra,Kashvi Verma
D0153,Medium,P1,Concurrency issue during interest computation.,Non laudantium perspiciatis laboriosam quasi quidem odio natus.,Open,2024-04-25,2024-05-27,Memory Leak,0,Authentication Gateway,Aaina Goel,Ayesha Ram
D0154,Critical,P3,API throws 400 for valid request payload due to schema mismatch.,Veritatis nulla eligendi.,Closed,2023-11-01,2023-11-02,Bad Request Handling,3,Account Ledger,Ivan Kakar,Nirvaan Bhalla
D0155,Critical,P1,Array index out of bounds in bill payment validation flow.,Nam exercitationem aliquam praesentium at.,Closed,2025-01-18,2025-01-19,Race Condition,2,Authentication Gateway,Hridaan Guha,Manjari Kala
D0156,Medium,P4,Concurrency issue during interest computation.,Sed perspiciatis at blanditiis quod quos velit.,Closed,2024-08-21,2024-08-22,Memory Leak,0,Authentication Gateway,Emir Ramesh,Elakshi Kaur
D0157,Critical,P4,Memory leak in session handling of UPI requests.,Amet delectus iste aliquam quis quasi.,Closed,2025-03-20,2025-03-22,Race Condition,3,Loan Processing,Elakshi Luthra,Tushar Subramaniam
D0158,Critical,P1,Amount field not formatted correctly in transaction history export.,Iste dolor cum ut modi.,Closed,2023-08-07,2023-08-09,Race Condition,1,Transaction History,Emir Ramesh,Heer Dass
D0159,High,P3,Array index out of bounds in bill payment validation flow.,Fuga velit temporibus.,Closed,2023-07-21,2023-07-22,Incorrect Business Logic,1,Loan Processing,Aaina Goel,Tushar Subramaniam
D0160,High,P3,Memory leak in session handling of UPI requests.,Vel neque repudiandae aliquid quasi architecto.,Closed,2024-01-01,2024-01-02,Memory Leak,2,Transaction History,Lagan Rattan,Ivan Gandhi
D0161,Medium,P1,Memory leak in session handling of UPI requests.,Dignissimos quibusdam dignissimos debitis reprehenderit animi rerum.,Closed,2023-10-30,2023-11-01,Race Condition,1,Transaction History,Divyansh Singhal,Tushar Khare
D0162,Medium,P2,Date parsing issue causes crash in EMI module.,Quisquam nihil accusantium eum.,Closed,2024-02-07,2024-02-09,Bad Request Handling,3,Account Ledger,Aaina Goel,Ayesha Ram
D0163,Low,P1,Concurrency issue during interest computation.,Numquam accusamus nihil est laborum.,Closed,2024-12-31,2025-01-01,Bad Request Handling,0,Account Ledger,Emir Ramesh,Tiya Grover
D0164,High,P4,Amount field not formatted correctly in transaction history export.,Atque quas repudiandae esse consequuntur fuga.,Closed,2023-08-02,2023-08-04,Bad Request Handling,2,UPI Service,Tarini Mann,Nayantara Bassi
D0165,High,P4,Concurrency issue during interest computation.,Perspiciatis voluptates fugit in accusantium officiis occaecati.,In Progress,2023-10-06,,Race Condition,3,Transaction History,Tarini Mann,Manjari Tailor
D0166,Medium,P1,Transaction fails intermittently due to race condition in concurrent hashmap.,Sequi mollitia consequatur vero doloremque ex.,Closed,2025-03-18,2025-03-19,Bad Request Handling,3,Loan Processing,Aaryahi Som,Vidur Sura
D0167,Low,P1,Array index out of bounds in bill payment validation flow.,Quibusdam tempora commodi assumenda fugit quaerat ipsam.,Open,2024-07-07,2024-07-15,Bad Request Handling,1,Account Ledger,Tarini Dass,Manjari Tailor
D0168,High,P4,Incorrect balance calculation after mini-statement fetch.,Debitis animi deserunt quae deserunt exercitationem vero.,Closed,2024-01-25,2024-01-26,Race Condition,0,Bill Payments,Dishani Rajagopalan,Tushar Khare
D0169,Medium,P2,Amount field not formatted correctly in transaction history export.,Repudiandae harum vitae iusto soluta officiis rem eveniet.,Closed,2024-11-15,2024-11-16,Bad Request Handling,0,Authentication Gateway,Hridaan Guha,Samarth Sanghvi
D0170,High,P2,Concurrency issue during interest computation.,Magni ut odio animi quia.,In Progress,2023-08-13,2023-10-03,Race Condition,3,Bill Payments,Farhan Ganguly,Tushar Khare
D0171,Low,P3,Transaction fails intermittently due to race condition in concurrent hashmap.,Amet consequatur eius accusantium atque corrupti sapiente.,In Progress,2025-02-06,2025-02-10,Incorrect Business Logic,3,Account Ledger,Yasmin Chhabra,Tushar Khare
D0172,Medium,P3,NullPointerException when calling balance check endpoint.,Deserunt nesciunt id quasi ipsum adipisci.,Closed,2023-08-14,2023-08-16,API Timeout,0,Bill Payments,Aniruddh Bhatnagar,Heer Bhat
D0173,Medium,P3,Amount field not formatted correctly in transaction history export.,Consectetur quae eum autem.,Closed,2025-05-27,2025-05-28,Incorrect Business Logic,2,Loan Processing,Indrans Chadha,Gokul Manne
D0174,Low,P3,Amount field not formatted correctly in transaction history export.,Fugiat fugit harum fuga unde.,Closed,2025-01-14,2025-01-16,API Timeout,0,UPI Service,Divit Upadhyay,Manjari Tailor
D0175,Low,P3,Transaction fails intermittently due to race condition in concurrent hashmap.,Ducimus nisi ex odio perferendis sint rem.,In Progress,2023-09-22,2023-10-07,Null Pointer,3,Account Ledger,Farhan Ganguly,Tushar Khare
D0176,Low,P2,Date parsing issue causes crash in EMI module.,Eligendi reprehenderit pariatur temporibus tempore.,Closed,2024-07-05,2024-07-07,Null Pointer,2,Authentication Gateway,Kaira Sharma,Farhan Mahajan
D0177,Critical,P1,Incorrect balance calculation after mini-statement fetch.,Aperiam a excepturi voluptatum ad.,Closed,2023-10-28,2023-10-30,Bad Request Handling,0,UPI Service,Tarini Mann,Ritvik Raju
D0178,Low,P4,Timeout during KYC check API call.,Repudiandae praesentium officia deleniti doloribus ullam.,Closed,2023-08-30,2023-08-31,Bad Request Handling,1,UPI Service,Aaina Goel,Kashvi Verma
D0179,High,P4,NullPointerException when calling balance check endpoint.,Molestiae ipsa eos.,Closed,2023-10-16,2023-10-17,Bad Request Handling,1,Authentication Gateway,Mannat Sharma,Heer Bhat
D0180,High,P3,API throws 400 for valid request payload due to schema mismatch.,Commodi illum est totam unde quod.,Closed,2023-11-07,2023-11-08,Null Pointer,1,UPI Service,Divit Upadhyay,Tiya Bir
D0181,High,P2,Memory leak in session handling of UPI requests.,Sunt explicabo numquam accusantium dolores aliquid quaerat dolor.,Closed,2024-10-31,2024-11-01,Memory Leak,0,Authentication Gateway,Kimaya Sunder,Elakshi Kaur
D0182,Critical,P3,Array index out of bounds in bill payment validation flow.,Id natus numquam voluptatibus.,Closed,2023-07-06,2023-07-07,Incorrect Business Logic,0,Bill Payments,Nehmat Ram,Nirvaan Bhalla
D0183,Critical,P3,Transaction fails intermittently due to race condition in concurrent hashmap.,Tenetur sequi distinctio laborum tempore eum quia.,Closed,2025-04-01,2025-04-02,Null Pointer,1,UPI Service,Hazel Kalla,Anya Dixit
D0184,Critical,P3,Array index out of bounds in bill payment validation flow.,Beatae rerum natus illum repudiandae.,Closed,2024-02-15,2024-02-16,Bad Request Handling,0,Transaction History,Zain Tak,Tushar Khare
D0185,Medium,P4,API throws 400 for valid request payload due to schema mismatch.,Impedit nisi omnis deserunt placeat voluptatem.,Closed,2025-03-18,2025-03-19,Incorrect Business Logic,0,Loan Processing,Zain Tak,Ivan Gandhi
D0186,Low,P1,API throws 400 for valid request payload due to schema mismatch.,Molestias nemo vero nobis laudantium vero.,Closed,2025-01-22,2025-01-24,Bad Request Handling,3,Account Ledger,Divyansh Singhal,Indranil Sanghvi
D0187,Critical,P3,Memory leak in session handling of UPI requests.,Quisquam id deleniti nesciunt animi alias quidem.,Open,2024-04-02,2024-05-20,API Timeout,3,Transaction History,Aaina Goel,Manjari Tailor
D0188,Low,P1,Date parsing issue causes crash in EMI module.,Et ratione nemo cum saepe.,Closed,2024-05-04,2024-05-06,Race Condition,2,Account Ledger,Tarini Dass,Heer Dass
D0189,High,P2,Memory leak in session handling of UPI requests.,Enim dolorem incidunt reiciendis.,Closed,2024-12-31,2025-01-02,Incorrect Business Logic,2,Account Ledger,Emir Ramesh,Bhamini Kakar
D0190,High,P3,Memory leak in session handling of UPI requests.,Quis voluptatem accusantium tempora quasi.,Closed,2023-12-12,2023-12-14,Bad Request Handling,1,UPI Service,Kaira Sharma,Farhan Mahajan
D0191,Low,P1,NullPointerException when calling balance check endpoint.,Excepturi vero assumenda totam quis eaque possimus.,Closed,2024-12-28,2024-12-29,Null Pointer,0,Transaction History,Divit Upadhyay,Heer Dass
D0192,High,P1,Memory leak in session handling of UPI requests.,Placeat dolorum fugiat velit inventore.,Closed,2023-09-26,2023-09-27,Bad Request Handling,3,Loan Processing,Dishani Rajagopalan,Ayesha Ram
D0193,Medium,P2,Amount field not formatted correctly in transaction history export.,Sint aut expedita unde deleniti.,Closed,2023-09-20,2023-09-21,Race Condition,2,UPI Service,Mannat Sharma,Ritvik Raju
D0194,Critical,P1,Transaction fails intermittently due to race condition in concurrent hashmap.,Eveniet minima sit voluptate explicabo nihil.,Closed,2024-07-01,2024-07-02,Null Pointer,2,Transaction History,Lagan Rattan,Farhan Mahajan
D0195,Low,P1,Date parsing issue causes crash in EMI module.,Quia accusamus natus quos mollitia.,Closed,2024-08-08,2024-08-10,Race Condition,3,Bill Payments,Elakshi Shukla,Gokul Manne
D0196,Critical,P2,API throws 400 for valid request payload due to schema mismatch.,Rem minima modi architecto exercitationem ex.,Closed,2024-11-26,2024-11-27,Race Condition,1,Bill Payments,Aniruddh Bhatnagar,Vivaan Kumer
D0197,Medium,P4,API throws 400 for valid request payload due to schema mismatch.,Nam molestias quos suscipit eveniet quod.,Closed,2024-10-03,2024-10-05,Bad Request Handling,3,Authentication Gateway,Aniruddh Bhatnagar,Heer Dass
D0198,Critical,P3,NullPointerException when calling balance check endpoint.,Labore sint sed fugiat ex.,Open,2023-11-09,2023-12-12,Bad Request Handling,1,Loan Processing,Urvi Dasgupta,Indranil Sanghvi
D0199,Low,P4,Amount field not formatted correctly in transaction history export.,Fugit optio itaque perferendis in nesciunt.,In Progress,2023-08-14,2023-09-26,Bad Request Handling,1,Bill Payments,Gokul Kala,Vivaan Kumer
D0200,High,P4,Transaction fails intermittently due to race condition in concurrent hashmap.,Ad dolores quo a expedita.,Closed,2023-06-14,2023-06-16,API Timeout,0,Account Ledger,Aaryahi Som,Nayantara Bassi
D0201,Critical,P2,Concurrency issue during interest computation.,Quis laboriosam explicabo porro atque in aliquid.,Closed,2023-12-27,2023-12-29,API Timeout,2,Account Ledger,Elakshi Shukla,Indranil Sanghvi
D0202,Low,P3,NullPointerException when calling balance check endpoint.,Eius tenetur mollitia atque assumenda.,Closed,2025-04-20,2025-04-21,API Timeout,2,Loan Processing,Divit Upadhyay,Heer Bhat
D0203,Low,P2,Timeout during KYC check API call.,Facilis voluptates corporis.,In Progress,2024-11-27,2024-12-11,API Timeout,2,Authentication Gateway,Divyansh Singhal,Nirvaan Bhalla
D0204,Critical,P1,Amount field not formatted correctly in transaction history export.,Dolorum iure iusto sint a saepe id.,Closed,2024-09-18,2024-09-19,Bad Request Handling,2,Transaction History,Gokul Kala,Bhamini Kakar
D0205,High,P1,Array index out of bounds in bill payment validation flow.,Distinctio qui fuga culpa incidunt.,Open,2025-05-16,2025-07-13,Memory Leak,0,Transaction History,Divyansh Dubey,Kashvi Verma
D0206,High,P4,NullPointerException when calling balance check endpoint.,Ducimus suscipit enim reprehenderit adipisci cupiditate nulla quaerat.,Closed,2024-09-04,2024-09-05,Bad Request Handling,3,Transaction History,Hrishita Dar,Manjari Kala
D0207,High,P4,Transaction fails intermittently due to race condition in concurrent hashmap.,Nisi iste odio facere quia.,In Progress,2024-02-09,,Incorrect Business Logic,3,Bill Payments,Yasmin Chhabra,Manjari Tailor
D0208,Medium,P2,Array index out of bounds in bill payment validation flow.,Officiis corporis quos.,Closed,2023-08-03,2023-08-04,Race Condition,2,Authentication Gateway,Yasmin Chhabra,Heer Dass
D0209,Critical,P4,Memory leak in session handling of UPI requests.,Ex illum accusamus.,Closed,2023-09-04,2023-09-06,Null Pointer,3,Loan Processing,Elakshi Luthra,Nayantara Bassi
D0210,High,P4,Date parsing issue causes crash in EMI module.,Impedit totam nisi culpa laboriosam maxime quod consequuntur.,Closed,2025-04-12,2025-04-14,Incorrect Business Logic,3,Account Ledger,Kaira Sharma,Ivan Gandhi
D0211,High,P4,Array index out of bounds in bill payment validation flow.,Cum quia quam.,Closed,2024-03-21,2024-03-22,Race Condition,1,Transaction History,Elakshi Luthra,Alisha Batra
D0212,High,P1,Array index out of bounds in bill payment validation flow.,Quos hic quam.,Closed,2024-01-24,2024-01-25,Race Condition,3,Account Ledger,Divyansh Dubey,Ivan Gandhi
D0213,High,P3,Incorrect balance calculation after mini-statement fetch.,Officiis eligendi voluptatem quia aspernatur.,Closed,2025-03-07,2025-03-09,API Timeout,1,Account Ledger,Krish Solanki,Tushar Khare
D0214,Medium,P2,Transaction fails intermittently due to race condition in concurrent hashmap.,Suscipit beatae quo voluptas repellat aperiam cum.,Closed,2025-04-13,2025-04-15,Null Pointer,0,Authentication Gateway,Hridaan Guha,Manjari Kala
D0215,Medium,P4,API throws 400 for valid request payload due to schema mismatch.,Quos quas possimus nulla.,Closed,2024-01-17,2024-01-19,Bad Request Handling,3,UPI Service,Elakshi Luthra,Heer Bhat
D0216,High,P3,NullPointerException when calling balance check endpoint.,Aliquid aut quo tempore.,Closed,2025-05-21,2025-05-22,Race Condition,2,Transaction History,Gokul Kala,Anya Dixit
D0217,Medium,P3,Amount field not formatted correctly in transaction history export.,Iste amet commodi nisi quisquam recusandae.,Closed,2024-12-14,2024-12-16,Memory Leak,1,Transaction History,Divyansh Singhal,Nirvaan Bhalla
D0218,Critical,P4,Date parsing issue causes crash in EMI module.,Iste a perferendis quae.,Closed,2024-05-28,2024-05-29,Incorrect Business Logic,3,Loan Processing,Aaryahi Som,Tushar Khare
D0219,High,P2,Memory leak in session handling of UPI requests.,Aut recusandae tempora voluptatibus.,Closed,2024-10-02,2024-10-04,Incorrect Business Logic,2,UPI Service,Divyansh Singhal,Tiya Grover
D0220,High,P3,Timeout during KYC check API call.,Aperiam assumenda eum nemo tempora rerum.,Closed,2025-04-26,2025-04-27,Bad Request Handling,3,Authentication Gateway,Krish Solanki,Manjari Tailor
D0221,Low,P1,Transaction fails intermittently due to race condition in concurrent hashmap.,Aut blanditiis at illum neque deserunt iusto.,Closed,2024-01-13,2024-01-15,Incorrect Business Logic,1,UPI Service,Divyansh Singhal,Shayak Hegde
D0222,High,P4,Transaction fails intermittently due to race condition in concurrent hashmap.,Perferendis esse voluptatibus totam.,Closed,2025-03-28,2025-03-30,Memory Leak,0,Transaction History,Lagan Rattan,Ritvik Raju
D0223,High,P2,Timeout during KYC check API call.,Ullam in exercitationem.,Closed,2025-03-04,2025-03-05,Null Pointer,0,Authentication Gateway,Tarini Mann,Indranil Sanghvi
D0224,High,P1,Transaction fails intermittently due to race condition in concurrent hashmap.,Quod reprehenderit dignissimos perspiciatis in iure blanditiis.,Open,2024-09-03,2024-09-10,Null Pointer,1,Loan Processing,Divyansh Dubey,Alisha Batra
D0225,Medium,P2,Concurrency issue during interest computation.,Quidem modi natus aut neque officiis.,Closed,2024-11-05,2024-11-07,Race Condition,2,Account Ledger,Nirvaan Lad,Farhan Mahajan
D0226,Critical,P2,Array index out of bounds in bill payment validation flow.,Suscipit illum deserunt voluptates soluta aut maxime.,Closed,2024-09-10,2024-09-12,API Timeout,2,Transaction History,Nirvaan Lad,Lakshit Walla
D0227,Low,P2,Array index out of bounds in bill payment validation flow.,Quasi vel voluptatibus et earum eligendi libero.,Closed,2023-10-03,2023-10-05,API Timeout,0,Account Ledger,Krish Solanki,Manjari Tailor
D0228,High,P3,Concurrency issue during interest computation.,Impedit esse asperiores quis laborum.,Closed,2023-08-21,2023-08-23,Null Pointer,2,Account Ledger,Tarini Dass,Lavanya Hans
D0229,Low,P4,Date parsing issue causes crash in EMI module.,Amet cum blanditiis laborum alias alias facilis.,Closed,2024-05-18,2024-05-20,Race Condition,1,Transaction History,Krish Solanki,Elakshi Kaur
D0230,Medium,P1,Concurrency issue during interest computation.,Tenetur saepe libero nisi voluptatum libero quis.,In Progress,2024-12-29,2025-02-26,Memory Leak,2,Account Ledger,Lagan Rattan,Lakshit Walla
D0231,Low,P2,API throws 400 for valid request payload due to schema mismatch.,Minus qui et harum.,Open,2024-07-27,2024-08-27,Incorrect Business Logic,1,UPI Service,Kimaya Sunder,Kashvi Verma
D0232,High,P2,Amount field not formatted correctly in transaction history export.,Commodi quidem culpa nostrum dolore alias tenetur.,Closed,2025-03-16,2025-03-18,Race Condition,0,Loan Processing,Divyansh Singhal,Kashvi Verma
D0233,Medium,P3,Transaction fails intermittently due to race condition in concurrent hashmap.,Cumque quasi assumenda dolor alias qui voluptatibus.,Closed,2024-12-05,2024-12-07,API Timeout,1,Account Ledger,Farhan Ganguly,Lavanya Hans
D0234,Critical,P4,Date parsing issue causes crash in EMI module.,Quam inventore ipsum quibusdam aut impedit voluptates beatae.,Closed,2024-06-06,2024-06-08,Race Condition,1,Account Ledger,Elakshi Shukla,Alisha Batra
D0235,Medium,P1,NullPointerException when calling balance check endpoint.,Enim voluptatem in unde dolores sapiente quis.,Closed,2024-05-18,2024-05-19,Bad Request Handling,2,Transaction History,Nirvaan Lad,Ayesha Ram
D0236,Medium,P1,Date parsing issue causes crash in EMI module.,Tempora aliquam quam consectetur consequatur molestias eligendi molestias.,Closed,2023-07-30,2023-08-01,Null Pointer,2,Transaction History,Hridaan Guha,Manjari Tailor
D0237,High,P3,Transaction fails intermittently due to race condition in concurrent hashmap.,Dolorum quas error.,Closed,2024-01-02,2024-01-04,Race Condition,1,Bill Payments,Farhan Ganguly,Vidur Sura
D0238,Medium,P4,Timeout during KYC check API call.,Iusto numquam corporis odio voluptate nostrum.,Closed,2024-05-15,2024-05-17,Incorrect Business Logic,3,Authentication Gateway,Divit Upadhyay,Elakshi Kaur
D0239,Critical,P3,Timeout during KYC check API call.,Assumenda magnam unde illum.,Closed,2025-02-13,2025-02-14,Memory Leak,1,UPI Service,Aniruddh Bhatnagar,Tushar Khare
D0240,Low,P4,Memory leak in session handling of UPI requests.,Numquam at accusamus quidem ex explicabo nam quisquam.,Closed,2024-06-28,2024-06-29,Race Condition,0,Transaction History,Divyansh Dubey,Manjari Kala
D0241,Medium,P2,Amount field not formatted correctly in transaction history export.,Incidunt iusto molestias similique fugiat amet.,Closed,2023-07-26,2023-07-27,Bad Request Handling,1,Transaction History,Divyansh Singhal,Tiya Bir
D0242,Low,P3,Incorrect balance calculation after mini-statement fetch.,Quam exercitationem nihil asperiores pariatur facere sit mollitia.,Closed,2023-07-25,2023-07-26,Bad Request Handling,0,Account Ledger,Yasmin Chhabra,Jayant Choudhury
D0243,High,P4,Transaction fails intermittently due to race condition in concurrent hashmap.,Itaque quia aut a.,Closed,2024-11-14,2024-11-15,API Timeout,1,Transaction History,Yasmin Chhabra,Nayantara Bassi
D0244,High,P2,Array index out of bounds in bill payment validation flow.,Itaque deserunt recusandae mollitia sunt suscipit culpa quidem.,Closed,2024-03-12,2024-03-13,API Timeout,3,Bill Payments,Mannat Sharma,Lavanya Hans
D0245,Low,P3,Concurrency issue during interest computation.,Nostrum hic dignissimos.,Open,2023-12-29,2024-02-12,Race Condition,1,Authentication Gateway,Urvi Dasgupta,Samarth Sanghvi
D0246,Low,P1,Transaction fails intermittently due to race condition in concurrent hashmap.,Sed similique fugit est.,In Progress,2025-05-28,2025-06-17,Incorrect Business Logic,2,Bill Payments,Navya Dhaliwal,Ivan Gandhi
D0247,High,P2,Memory leak in session handling of UPI requests.,Omnis sed commodi corrupti alias similique.,Open,2025-03-29,2025-05-17,Memory Leak,3,UPI Service,Tarini Mann,Ritvik Raju
D0248,Medium,P2,Array index out of bounds in bill payment validation flow.,Assumenda iusto aliquid molestias.,Closed,2024-04-02,2024-04-03,Race Condition,0,Loan Processing,Divyansh Singhal,Ayesha Ram
D0249,High,P3,Date parsing issue causes crash in EMI module.,Nobis eius dignissimos quasi accusamus a debitis.,Closed,2023-08-31,2023-09-01,Bad Request Handling,0,Authentication Gateway,Dishani Rajagopalan,Kartik Barman
D0250,Medium,P2,Incorrect balance calculation after mini-statement fetch.,Cupiditate nemo beatae accusamus repudiandae similique facilis earum.,Closed,2023-06-15,2023-06-16,Race Condition,2,Account Ledger,Ivan Kakar,Kashvi Verma
D0251,Medium,P2,Incorrect balance calculation after mini-statement fetch.,Blanditiis ullam odio temporibus.,Closed,2023-09-07,2023-09-09,Memory Leak,3,Bill Payments,Farhan Ganguly,Kashvi Verma
D0252,High,P1,Transaction fails intermittently due to race condition in concurrent hashmap.,Doloremque quidem nulla pariatur aut.,Closed,2025-02-22,2025-02-24,API Timeout,2,UPI Service,Hridaan Guha,Lakshit Walla
D0253,Critical,P4,Concurrency issue during interest computation.,Corporis repellat asperiores harum.,Closed,2024-04-18,2024-04-19,Null Pointer,1,Loan Processing,Urvi Dasgupta,Manjari Kala
D0254,Critical,P3,Incorrect balance calculation after mini-statement fetch.,Necessitatibus quia minus praesentium deleniti occaecati quod laborum.,Closed,2025-03-18,2025-03-20,Race Condition,3,Bill Payments,Nirvaan Lad,Alisha Batra
D0255,Low,P4,Memory leak in session handling of UPI requests.,Asperiores nostrum aperiam veniam assumenda.,Closed,2024-12-05,2024-12-07,Bad Request Handling,2,Authentication Gateway,Elakshi Shukla,Farhan Mahajan
D0256,Medium,P1,API throws 400 for valid request payload due to schema mismatch.,Odit numquam expedita.,Closed,2024-12-23,2024-12-25,Incorrect Business Logic,1,Transaction History,Divit Upadhyay,Vivaan Kumer
D0257,Critical,P2,Memory leak in session handling of UPI requests.,Cupiditate unde sapiente mollitia dolorem dolorem temporibus.,Open,2024-02-28,,Incorrect Business Logic,0,UPI Service,Dishani Rajagopalan,Jayant Choudhury
D0258,Medium,P4,Concurrency issue during interest computation.,Dicta minus facilis ipsam reprehenderit vel.,Closed,2025-01-11,2025-01-12,Incorrect Business Logic,3,UPI Service,Divit Upadhyay,Farhan Mahajan
D0259,High,P2,Amount field not formatted correctly in transaction history export.,Rem libero ea saepe temporibus optio quisquam ipsam.,Closed,2025-01-01,2025-01-03,Memory Leak,2,Bill Payments,Aaina Goel,Nirvaan Bhalla
D0260,Critical,P2,Amount field not formatted correctly in transaction history export.,Assumenda aut autem necessitatibus architecto nobis ut.,Closed,2024-06-13,2024-06-14,Memory Leak,2,Bill Payments,Gokul Kala,Kashvi Verma
D0261,Medium,P2,Amount field not formatted correctly in transaction history export.,Ipsam iure alias consequuntur saepe earum.,Closed,2024-01-11,2024-01-12,Incorrect Business Logic,0,Bill Payments,Tarini Mann,Tushar Subramaniam
D0262,Low,P2,Array index out of bounds in bill payment validation flow.,Laboriosam quasi eaque.,Closed,2024-05-19,2024-05-20,Null Pointer,3,Transaction History,Elakshi Shukla,Vivaan Kumer
D0263,Low,P1,Concurrency issue during interest computation.,Mollitia placeat saepe similique tenetur consectetur.,Closed,2024-03-05,2024-03-06,Null Pointer,0,Bill Payments,Emir Ramesh,Vivaan Kumer
D0264,High,P1,Concurrency issue during interest computation.,Quos deserunt quos repellendus atque.,Closed,2024-08-29,2024-08-31,Memory Leak,0,Loan Processing,Nirvaan Lad,Tiya Grover
D0265,Critical,P3,Date parsing issue causes crash in EMI module.,Ad ex expedita quibusdam.,Closed,2024-08-30,2024-09-01,API Timeout,3,Bill Payments,Kaira Sharma,Nirvaan Bhalla
D0266,Critical,P1,Date parsing issue causes crash in EMI module.,Dolor quisquam assumenda harum.,Closed,2024-11-05,2024-11-07,Race Condition,0,Bill Payments,Hrishita Dar,Alisha Batra
D0267,Medium,P4,Concurrency issue during interest computation.,Nobis quidem natus ut.,In Progress,2023-09-02,,Incorrect Business Logic,1,UPI Service,Hazel Kalla,Heer Bhat
D0268,Low,P4,Incorrect balance calculation after mini-statement fetch.,Sed corrupti rerum.,Closed,2024-04-13,2024-04-15,Null Pointer,3,Loan Processing,Aaina Goel,Lakshit Walla
D0269,Critical,P4,Timeout during KYC check API call.,Cum libero molestiae veritatis.,Closed,2023-10-11,2023-10-13,Race Condition,3,Account Ledger,Elakshi Shukla,Vivaan Kumer
D0270,High,P4,Timeout during KYC check API call.,Blanditiis aliquid molestiae a.,Closed,2025-04-15,2025-04-16,API Timeout,3,UPI Service,Kaira Sharma,Ayesha Ram
